         Deformacion;     Fuerza
  1,336818218231e+00;  6,149793243408e+01
  1,326613068581e+00;  5,920052337646e+01
  1,316359162331e+00;  5,696784210205e+01
  1,304161787033e+00;  5,429241943359e+01
  1,294068098068e+00;  5,223454284668e+01
  1,284016132355e+00;  5,026561737061e+01
  1,271965026855e+00;  4,785684585571e+01
  1,261850476265e+00;  4,597268676758e+01
  1,251833319664e+00;  4,412018203735e+01
  1,239329457283e+00;  4,187122726440e+01
  1,229207873344e+00;  4,012099075317e+01
  1,219023704529e+00;  3,840816497803e+01
  1,206603288651e+00;  3,635680770874e+01
  1,194155097008e+00;  3,440414428711e+01
  1,184054493904e+00;  3,290953063965e+01
  1,171968579292e+00;  3,110795402527e+01
  1,161784291267e+00;  2,969636726379e+01
  1,154045104980e+00;  2,873810386658e+01
  1,149712324142e+00;  2,819748115540e+01
  1,144975423813e+00;  2,757912063599e+01
  1,137493968010e+00;  2,687907028198e+01
  1,135508656502e+00;  2,691306686401e+01
  1,134951353073e+00;  2,706829452515e+01
  1,135348439217e+00;  2,757083702087e+01
  1,145428180695e+00;  2,982428550720e+01
  1,156469225883e+00;  3,223878097534e+01
  1,168743252754e+00;  3,470273971558e+01
  1,180780529976e+00;  3,711965560913e+01
  1,193005800247e+00;  3,948870849609e+01
  1,203210949898e+00;  4,140242004395e+01
  1,215624213219e+00;  4,378414535522e+01
  1,225641369820e+00;  4,567280197144e+01
  1,235651373863e+00;  4,756716156006e+01
  1,245752096176e+00;  4,942979049683e+01
  1,258012175560e+00;  5,174688720703e+01
  1,268098950386e+00;  5,361315155029e+01
  1,278108954430e+00;  5,548863601685e+01
  1,290215849876e+00;  5,784521865845e+01
  1,300574302673e+00;  5,974933624268e+01
  1,310591340065e+00;  6,164247131348e+01
  1,323039531708e+00;  6,400054168701e+01
  1,333418846130e+00;  6,590979766846e+01
  1,345609307289e+00;  6,824111175537e+01
  1,355744719505e+00;  7,009657287598e+01
  1,365810513496e+00;  7,194637298584e+01
  1,377966165543e+00;  7,419798278809e+01
  1,388171315193e+00;  7,594987487793e+01
  1,390679121017e+00;  7,634716033936e+01
  1,395367145538e+00;  7,705712127686e+01
  1,400800585747e+00;  7,782429504395e+01
  1,408713936806e+00;  7,840318298340e+01
  1,410943031311e+00;  7,800372314453e+01
  1,411604881287e+00;  7,748967742920e+01
  1,409696221352e+00;  7,597274780273e+01
  1,398097872734e+00;  7,276467132568e+01
  1,386450767517e+00;  6,946913909912e+01
  1,374086141586e+00;  6,629199218750e+01
  1,362083792686e+00;  6,328397369385e+01
  1,351969122887e+00;  6,093352890015e+01
  1,341917276382e+00;  5,867339324951e+01
  1,329503893852e+00;  5,591911697388e+01
  1,319159507751e+00;  5,376392364502e+01
  1,306899309158e+00;  5,121372604370e+01
